DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
12-Dec-25,EQ,"1,601.40","1,601.80","1,582.60","1,598.00","1,597.50","1,598.20","1,593.93","2,006.45","1,307.00","46,33,912","7,38,61,37,017.50","1,44,042"
11-Dec-25,EQ,"1,598.00","1,607.40","1,580.50","1,584.80","1,596.20","1,598.00","1,592.84","2,006.45","1,307.00","51,59,319","8,21,79,52,937.00","1,54,906"
10-Dec-25,EQ,"1,608.00","1,608.00","1,582.80","1,599.00","1,584.80","1,584.80","1,590.84","2,006.45","1,307.00","51,16,140","8,13,89,64,777.00","1,91,185"
09-Dec-25,EQ,"1,601.20","1,606.90","1,582.40","1,610.80","1,597.00","1,599.00","1,596.28","2,006.45","1,307.00","69,57,599","11,10,62,55,546.90","1,56,650"
08-Dec-25,EQ,"1,617.10","1,630.00","1,600.20","1,616.20","1,608.00","1,610.80","1,616.80","2,006.45","1,307.00","75,50,413","12,20,75,31,800.50","3,02,234"
05-Dec-25,EQ,"1,610.00","1,631.80","1,600.00","1,597.60","1,613.90","1,616.20","1,617.78","2,006.45","1,307.00","1,03,44,725","16,73,55,28,909.20","3,27,955"
04-Dec-25,EQ,"1,568.00","1,599.00","1,568.00","1,578.70","1,593.20","1,597.60","1,591.52","2,006.45","1,307.00","1,26,09,619","20,06,84,24,408.50","3,25,755"
03-Dec-25,EQ,"1,555.10","1,586.00","1,554.10","1,561.00","1,575.60","1,578.70","1,574.15","2,006.45","1,307.00","1,28,95,312","20,29,91,83,597.60","3,39,751"
02-Dec-25,EQ,"1,567.00","1,579.90","1,556.10","1,564.00","1,563.00","1,561.00","1,564.22","2,006.45","1,307.00","63,35,969","9,91,08,27,669.40","2,43,238"
01-Dec-25,EQ,"1,562.50","1,574.00","1,556.00","1,560.10","1,563.50","1,564.00","1,564.42","2,006.45","1,307.00","53,41,800","8,35,68,20,751.00","1,89,364"
28-Nov-25,EQ,"1,565.00","1,568.40","1,557.00","1,566.40","1,558.10","1,560.10","1,561.93","2,006.45","1,307.00","44,53,221","6,95,56,03,409.70","1,15,190"
27-Nov-25,EQ,"1,564.00","1,574.30","1,552.20","1,557.90","1,565.00","1,566.40","1,563.46","2,006.45","1,307.00","75,52,252","11,80,76,63,907.20","1,68,875"
26-Nov-25,EQ,"1,532.10","1,560.30","1,532.10","1,530.60","1,557.30","1,557.90","1,550.71","2,006.45","1,307.00","75,75,038","11,74,67,21,789.00","1,22,796"
25-Nov-25,EQ,"1,549.00","1,550.60","1,525.90","1,548.00","1,530.20","1,530.60","1,532.04","2,006.45","1,307.00","81,07,952","12,42,17,20,830.60","1,70,664"
24-Nov-25,EQ,"1,563.60","1,585.00","1,541.00","1,545.00","1,546.20","1,548.00","1,558.71","2,006.45","1,307.00","1,92,70,381","30,03,69,94,341.40","2,67,249"
21-Nov-25,EQ,"1,531.00","1,551.50","1,526.30","1,536.50","1,544.10","1,545.00","1,543.83","2,006.45","1,307.00","91,86,302","14,18,20,74,317.80","2,27,357"
